Num;code;Replace;sym
444;🤽‍♀️;emojwomanplayingwaterpolo;4
446;🤾‍♂️;emojmanplayinghandball;4
447;🤾‍♀️;emojwomanplayinghandball;4
449;🤹‍♂️;emojmanjuggling;4
450;🤹‍♀️;emojwomanjuggling;4
452;🧘‍♂️;emojmaninlotusposition;4
453;🧘‍♀️;emojwomaninlotusposition;4
558;🐻‍❄️;emojpolarbear;4
1546;🏳️‍🌈;emojrainbowflag;4
1548;🏴‍☠️;emojpirateflag;4
211;👨‍🦰;emojmanredhair;3
212;👨‍🦱;emojmancurlyhair;3
213;👨‍🦳;emojmanwhitehair;3
214;👨‍🦲;emojmanbald;3
216;👩‍🦰;emojwomanredhair;3
217;🧑‍🦰;emojpersonredhair;3
218;👩‍🦱;emojwomancurlyhair;3
219;🧑‍🦱;emojpersoncurlyhair;3
220;👩‍🦳;emojwomanwhitehair;3
221;🧑‍🦳;emojpersonwhitehair;3
222;👩‍🦲;emojwomanbald;3
223;🧑‍🦲;emojpersonbald;3
262;🧑‍🎓;emojstudent;3
263;👨‍🎓;emojmanstudent;3
264;👩‍🎓;emojwomanstudent;3
265;🧑‍🏫;emojteacher;3
266;👨‍🏫;emojmanteacher;3
267;👩‍🏫;emojwomanteacher;3
271;🧑‍🌾;emojfarmer;3
272;👨‍🌾;emojmanfarmer;3
273;👩‍🌾;emojwomanfarmer;3
274;🧑‍🍳;emojcook;3
275;👨‍🍳;emojmancook;3
276;👩‍🍳;emojwomancook;3
277;🧑‍🔧;emojmechanic;3
278;👨‍🔧;emojmanmechanic;3
279;👩‍🔧;emojwomanmechanic;3
280;🧑‍🏭;emojfactoryworker;3
281;👨‍🏭;emojmanfactoryworker;3
282;👩‍🏭;emojwomanfactoryworker;3
283;🧑‍💼;emojofficeworker;3
284;👨‍💼;emojmanofficeworker;3
285;👩‍💼;emojwomanofficeworker;3
286;🧑‍🔬;emojscientist;3
287;👨‍🔬;emojmanscientist;3
288;👩‍🔬;emojwomanscientist;3
289;🧑‍💻;emojtechnologist;3
290;👨‍💻;emojmantechnologist;3
291;👩‍💻;emojwomantechnologist;3
292;🧑‍🎤;emojsinger;3
293;👨‍🎤;emojmansinger;3
294;👩‍🎤;emojwomansinger;3
295;🧑‍🎨;emojartist;3
296;👨‍🎨;emojmanartist;3
297;👩‍🎨;emojwomanartist;3
301;🧑‍🚀;emojastronaut;3
302;👨‍🚀;emojmanastronaut;3
303;👩‍🚀;emojwomanastronaut;3
304;🧑‍🚒;emojfirefighter;3
305;👨‍🚒;emojmanfirefighter;3
306;👩‍🚒;emojwomanfirefighter;3
335;👩‍🍼;emojwomanfeedingbaby;3
336;👨‍🍼;emojmanfeedingbaby;3
337;🧑‍🍼;emojpersonfeedingbaby;3
341;🧑‍🎄;emojmxclaus;3
384;🧑‍🦯;emojpersonwithwhitecane;3
385;👨‍🦯;emojmanwithwhitecane;3
386;👩‍🦯;emojwomanwithwhitecane;3
387;🧑‍🦼;emojpersoninmotorizedwheelchair;3
388;👨‍🦼;emojmaninmotorizedwheelchair;3
389;👩‍🦼;emojwomaninmotorizedwheelchair;3
390;🧑‍🦽;emojpersoninmanualwheelchair;3
391;👨‍🦽;emojmaninmanualwheelchair;3
392;👩‍🦽;emojwomaninmanualwheelchair;3
484;👨‍👦;emojfamilymanboy;3
486;👨‍👧;emojfamilymangirl;3
489;👩‍👦;emojfamilywomanboy;3
491;👩‍👧;emojfamilywomangirl;3
510;🐕‍🦺;emojservicedog;3
517;🐈‍⬛;emojblackcat;3
